Country Name,Country Code,GDP per capita 2022,High,GDP Rank,,
Ireland,NIR,106194.7559,1,1,,
Singapore,SGP,88428.70242,1,2,,
United States,USA,78035.17536,1,3,,
Australia,AUS,64997.01365,1,4,,
Netherlands,NLD,59123.31856,1,5,,
Canada,CAN,55509.39318,1,6,,
Germany,DEU,49686.11546,1,7,,
"Hong Kong SAR, China",HKG,48826.05277,1,8,,
New Zealand,NZL,48216.50958,1,9,,
United Kingdom,GBR,45935.92765,1,10,,
Andorra,AND,42414.05901,1,11,,
"Macao SAR, China",MAC,36909.95641,1,12,,
Puerto Rico,PRI,35268.0791,1,13,,
Japan,JPN,34017.27181,1,14,,
Taiwan,TWN,34002.0000,1,15,,
Cyprus,CYP,33938.94531,1,16,,
"Korea, Rep.",KOR,32394.68337,1,17,,
Czechia,CZE,28282.22367,1,18,,
Slovak Republic,SVK,21342.76667,1,19,,
Greece,GRC,20971.83493,1,20,,
Uruguay,URY,20691.9739,1,21,,
Romania,ROU,15557.88262,1,22,,
Chile,CHL,15451.13196,0,23,,
Russian Federation,RUS,15445.24219,0,24,,
Argentina,ARG,13935.68111,0,25,,
China,CHN,12662.58267,0,26,,
Maldives,MDV,11786.00915,0,27,,
Malaysia,MYS,11748.09193,0,28,,
Mexico,MEX,11385.40708,0,29,,
Kazakhstan,KAZ,11255.33964,0,30,,
Turkiye,TUR,10674.50416,0,31,,
Serbia,SRB,10022.96885,0,32,,
Brazil,BRA,9281.333344,0,33,,
Peru,PER,7363.272069,0,34,,
Thailand,THA,6909.359975,0,35,,
Colombia,COL,6674.596019,0,36,,
Armenia,ARM,6571.974455,0,37,,
Ecuador,ECU,6540.998245,0,38,,
Iraq,IRQ,6504.124284,0,39,,
Libya,LBY,5986.636949,0,40,,
Guatemala,GTM,5358.089638,0,41,,
Mongolia,MNG,4993.514875,0,42,,
Indonesia,IDN,4730.745489,0,43,,
"Iran, Islamic Rep.",IRN,4405.092915,0,44,,
Jordan,JOR,4332.251599,0,45,,
"Egypt, Arab Rep.",EGY,4233.307837,0,46,,
Ukraine,UKR,4199.670898,0,47,,
Viet Nam,VNM,4116.385761,0,48,,
Tunisia,TUN,3678.400234,0,49,,
Lebanon,LBN,3654.358455,0,50,,
Bolivia,BOL,3643.92827,0,51,,
Philippines,PHL,3548.069306,0,52,,
Morocco,MAR,3455.39624,0,53,,
Bangladesh,BGD,2716.485927,0,54,,
Uzbekistan,UZB,2578.666894,0,55,,
India,IND,2352.613925,0,56,,
Nicaragua,NIC,2325.167379,0,57,,
Nigeria,NGA,2139.374785,0,58,,
Kenya,KEN,2109.562885,0,59,,
Zimbabwe,ZWE,2040.552459,0,60,,
Kyrgyz Republic,KGZ,1739.720308,0,61,,
Pakistan,PAK,1538.322813,0,62,,
Myanmar,MMR,1158.05005,0,63,,
Tajikistan,TJK,1052.179495,0,64,,
Ethiopia,ETH,1011.073286,0,65,,
"Venezuela, RB",VEN,,0,66,,